,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01003340,957,944,6,7,4,274,933,-,2,10,3,9
S01003341,915,900,11,4,2,274,864,1,-,12,-,38
S01003342,699,675,22,2,14,197,562,-,4,2,28,103
S01003343,697,676,18,3,-,232,614,-,5,-,37,41
S01003344,457,448,9,-,2,138,429,1,-,1,5,21
S01003345,911,901,10,-,12,258,841,1,6,3,10,50
S01003346,844,830,9,5,12,268,794,6,5,4,-,35
S01003347,910,883,20,7,10,334,834,-,13,19,28,16
S01003348,"1,001",986,12,3,16,217,844,8,6,6,7,130
S01003349,"1,302","1,276",18,8,8,451,"1,212",6,7,3,10,64
S01003350,852,840,10,2,11,230,785,13,-,-,14,40
S01003351,"1,074","1,046",27,1,25,307,845,13,7,5,37,167
S01003352,"1,120","1,092",20,8,4,379,"1,051",-,4,3,27,35
S01003353,714,684,27,3,6,200,626,1,-,3,7,77
S01003354,598,588,7,3,1,185,576,-,6,-,4,12
S01003355,"1,015",998,16,1,8,267,955,1,4,1,11,43
S01003356,828,810,16,2,6,267,791,-,5,4,7,21
S01003357,353,338,13,2,5,108,285,3,-,-,14,51
S01003358,"1,848","1,814",32,2,24,319,"1,460",8,6,2,9,363
S01003359,937,923,12,2,7,234,880,5,2,-,-,50
S01003360,702,695,7,-,-,223,688,-,1,-,-,13
S01003361,700,689,10,1,4,232,677,-,-,-,6,17
S01003362,701,692,9,-,10,226,661,3,4,4,-,29
S01003363,753,738,14,1,3,212,734,-,1,2,-,16
S01003364,630,591,35,4,2,140,462,1,13,4,58,92
S01003365,705,671,29,5,16,209,550,11,7,1,24,112
S01003366,734,728,6,-,9,92,554,3,3,1,4,169
S01003367,"1,163","1,095",51,17,5,395,941,1,19,-,77,125
S01003368,"2,286","2,220",63,3,21,334,"1,528",9,10,3,18,718
S01003369,616,605,8,3,-,206,585,-,3,4,5,19
S01003370,745,732,12,1,9,160,642,3,5,1,12,82
S01003371,659,647,10,2,18,169,575,11,8,3,14,48
S01003372,778,765,12,1,4,260,760,-,2,-,7,9
S01003373,"2,195","2,114",67,14,22,383,"1,654",4,5,6,21,505
S01003374,465,452,12,1,1,164,429,-,4,-,29,3
S01003375,942,925,11,6,6,213,880,5,-,7,2,48
S01003376,505,495,10,-,1,200,473,-,1,1,8,22
S01003377,716,709,7,-,4,214,694,1,8,-,2,11
S01003378,806,781,18,7,5,296,719,3,5,5,35,39
S01003379,653,648,5,-,2,249,617,-,6,7,5,18
S01003380,"1,234","1,194",35,5,19,238,989,4,4,7,49,181
S01003381,713,696,16,1,2,196,665,-,4,-,-,44
S01003382,"1,563","1,529",28,6,10,285,"1,231",4,6,3,9,310
S01003383,892,876,15,1,4,250,852,3,7,1,5,24
S01003384,947,940,6,1,2,305,930,-,5,2,-,10
S01003385,819,807,10,2,11,212,742,4,2,4,4,63
S01003386,668,661,5,2,6,193,646,2,2,1,4,13
S01003387,772,743,20,9,9,215,678,4,2,1,34,53
S01003388,"1,003",981,19,3,14,339,901,8,7,3,14,70
S01003389,985,931,46,8,7,306,784,2,8,8,48,135
S01003390,"1,158","1,142",15,1,2,456,"1,108",-,7,3,12,28
S01003391,685,671,12,2,-,210,618,-,4,5,13,45
S01003392,804,781,19,4,7,190,704,1,7,2,11,79
S01003393,865,856,9,-,7,251,842,4,1,-,6,12
S01003394,616,607,6,3,-,188,593,-,1,3,9,10
S01003395,625,615,9,1,5,145,564,4,7,3,3,44
S01003396,784,715,62,7,13,218,577,3,-,4,96,104
S01003397,"1,014",997,13,4,5,399,964,-,10,4,10,26
S01003398,759,739,16,4,2,279,710,-,2,2,14,31
S01003399,"1,860","1,794",60,6,18,279,"1,261",4,6,3,4,582
S01003400,724,718,6,-,1,252,712,-,5,-,3,4
S01003401,806,779,26,1,3,307,742,-,5,1,33,25
S01003402,907,880,21,6,5,353,860,-,20,3,11,13
S01003403,"1,111","1,069",34,8,18,223,830,5,9,3,22,242
S01003404,557,550,7,-,1,211,535,-,5,2,15,-
S01003405,713,710,2,1,-,255,701,-,-,1,5,6
S01003406,670,649,12,9,7,186,605,1,4,9,5,46
S01003407,822,812,9,1,3,247,787,-,-,2,6,27
S01003408,626,591,29,6,11,122,431,2,1,2,8,182
S01003409,"1,490","1,459",22,9,16,294,"1,243",3,8,4,26,206
S01003410,"1,432","1,372",41,19,20,252,"1,050",5,5,2,14,356
S01003411,736,722,12,2,5,220,677,-,4,3,6,46
S01003412,825,786,32,7,15,254,673,4,5,4,40,99
S01003413,718,705,11,2,1,252,679,-,1,-,12,26
S01003414,419,411,7,1,1,157,398,1,-,8,11,1
S01003415,"1,243","1,172",64,7,13,232,873,6,3,-,30,331
S01003416,839,823,13,3,4,227,739,-,6,1,4,89
S01003417,912,895,16,1,7,214,773,1,1,5,18,114
S01003418,899,888,8,3,3,269,828,1,10,-,9,51
S01003419,914,898,11,5,2,341,874,-,6,2,3,29
S01003420,455,450,4,1,1,153,449,-,2,1,2,1
S01003421,890,873,14,3,6,328,844,4,2,2,20,18
S01003422,765,742,16,7,7,213,661,1,6,6,22,69
S01003423,756,723,24,9,21,127,550,9,4,-,14,179
S01003424,923,903,14,6,18,310,838,4,7,5,17,52
S01003425,817,806,10,1,18,169,630,7,3,3,8,166
S01003426,997,972,17,8,11,246,900,5,8,10,9,65
S01003427,920,909,8,3,5,257,870,3,7,2,3,35
S01003428,794,693,79,22,4,206,495,-,5,9,141,144
S01003429,"1,502","1,408",93,1,38,155,845,18,1,2,15,621
S01003430,764,748,14,2,14,106,626,6,4,2,11,115
S01003431,681,672,7,2,5,197,632,1,8,6,13,21
S01003432,857,830,24,3,10,126,681,1,12,1,9,153
S01003433,"1,136","1,104",23,9,18,178,827,6,1,-,7,295
S01003434,789,779,8,2,-,279,759,-,7,1,14,8
S01003435,700,693,7,-,2,256,672,-,4,5,12,7
S01003436,539,533,6,-,4,141,504,-,-,4,1,30
S01003437,790,767,19,4,24,101,613,15,4,2,13,143
S01003438,"1,388","1,327",56,5,23,138,893,16,6,2,6,465
S01003439,"1,141","1,092",29,20,14,225,971,2,1,3,6,158
S01003440,460,455,4,1,-,134,449,-,1,6,-,4
S01003441,"1,257","1,155",80,22,11,322,899,3,12,1,164,178
S01003442,962,926,25,11,4,294,775,-,3,4,19,161
S01003443,901,819,54,28,8,225,653,-,-,5,13,230
S01003444,741,722,14,5,10,267,675,3,5,6,36,16
S01003445,"1,009",963,37,9,7,299,739,-,9,11,26,224
S01003446,441,416,12,13,7,72,293,2,-,5,2,139
S01003447,"2,528","2,447",73,8,52,458,"1,855",17,11,4,6,635
S01003448,684,676,5,3,2,201,643,-,5,5,1,30
S01003449,821,778,36,7,4,155,580,1,-,4,12,224
S01003450,952,931,18,3,17,198,781,4,4,4,6,153
S01003451,898,880,16,2,29,146,763,11,5,-,4,115
S01003452,"1,394","1,363",25,6,18,631,"1,294",-,38,8,-,54
S01003453,"1,272","1,237",28,7,22,166,"1,015",8,2,1,5,241
S01003454,644,602,32,10,6,99,403,2,2,1,2,234
S01003455,754,746,6,2,2,276,739,-,6,-,-,9
S01003456,244,238,3,3,1,108,230,-,2,-,4,8
S01003457,934,837,84,13,2,194,575,-,14,10,36,299
S01003458,975,956,18,1,8,324,883,4,6,7,11,64
S01003459,848,834,13,1,1,309,750,-,5,1,16,76
S01003460,"1,037","1,019",12,6,15,158,865,5,6,5,6,150
S01003461,736,722,11,3,4,206,692,3,6,-,4,31
S01003462,523,513,8,2,-,178,485,-,9,-,18,11
S01003463,628,531,76,21,5,99,289,-,4,2,17,316
S01003464,956,893,48,15,24,145,634,9,4,4,5,300
S01003465,"2,436","2,406",27,3,42,438,"2,003",24,1,5,12,391
S01003466,771,755,15,1,14,162,678,7,6,1,9,70
S01003467,685,677,8,-,1,255,655,-,9,6,4,11
S01003468,821,771,36,14,14,132,542,3,5,4,6,261
S01003469,996,971,21,4,28,248,895,14,7,4,13,63
S01003470,"1,122","1,094",23,5,24,224,867,13,3,5,16,218
S01003471,728,704,19,5,3,315,670,-,1,-,13,44
S01003472,767,664,77,26,9,122,322,-,2,2,14,427
S01003473,954,901,37,16,21,199,751,11,-,-,11,181
S01003474,681,648,30,3,12,88,484,7,4,-,2,184
S01003475,826,769,45,12,5,159,645,-,1,-,6,174
S01003476,"1,069","1,050",17,2,4,267,990,2,2,4,13,58
S01003477,"1,060","1,053",6,1,40,201,930,25,10,-,9,86
S01003478,799,791,6,2,14,170,710,4,1,1,13,70
S01003479,827,816,10,1,32,158,708,17,4,7,3,88
S01003480,805,782,19,4,18,212,736,12,1,-,12,44
S01003481,"1,007",986,21,-,18,200,902,7,6,2,5,85
S01003482,649,594,41,14,12,180,466,7,7,3,3,163
S01003483,505,497,6,2,-,167,484,-,2,1,2,16
S01003484,"1,121","1,097",21,3,16,146,897,4,3,1,13,203
S01003485,879,862,13,4,18,105,688,15,2,-,4,170
S01003486,989,962,22,5,5,383,897,-,1,1,35,55
S01003487,"1,054","1,008",42,4,25,174,757,8,7,2,5,275
S01003488,679,672,5,2,4,185,649,-,7,-,5,18
S01003489,"1,307","1,267",32,8,8,446,"1,151",2,14,1,25,114
S01003490,608,546,48,14,1,126,403,-,2,2,2,199
S01003491,83,80,3,-,-,11,70,-,-,-,-,13
S01003492,"1,020",951,62,7,17,180,679,-,5,1,12,323
S01003493,807,778,22,7,15,197,696,10,4,6,19,72
S01003494,797,757,24,16,10,157,659,5,10,3,9,111
S01003495,880,838,33,9,6,222,699,1,5,1,12,162
S01003496,985,974,7,4,41,203,886,22,7,2,6,62
S01003497,937,929,7,1,30,135,819,18,2,-,13,85
S01003498,995,979,14,2,27,211,889,17,8,-,2,79
S01003499,979,966,11,2,43,192,863,24,5,1,7,79
S01003500,624,525,75,24,7,153,337,1,2,-,29,255
S01003501,696,667,26,3,19,84,518,11,2,1,-,164
S01003502,"1,735","1,704",30,1,4,400,"1,592",-,8,3,12,120
S01003503,680,673,5,2,23,114,609,11,5,-,3,52
S01003504,914,888,20,6,17,114,661,3,3,1,6,240
S01003506,"1,014",991,18,5,13,164,823,8,2,-,7,174
S01003507,508,479,22,7,13,78,315,9,2,4,11,167
S01003508,789,771,15,3,22,185,716,15,2,1,6,49
S01003509,916,910,5,1,18,133,815,7,6,-,-,88
S01003510,396,391,3,2,3,128,364,-,3,1,3,25
S01003511,"1,079","1,067",10,2,15,140,982,8,3,2,2,82
S01003512,604,595,8,1,1,213,599,-,1,-,2,2
S01003513,723,718,4,1,10,109,600,6,3,-,4,110
S01003514,889,877,9,3,18,137,752,8,6,1,4,118
S01003515,606,596,8,2,4,233,590,-,1,6,-,9
S01003516,645,634,9,2,4,172,582,-,-,3,5,55
S01003517,740,726,14,-,15,117,605,9,3,-,6,117
S01003518,"1,002",978,24,-,15,274,911,5,4,2,20,60
S01003519,531,510,19,2,6,147,424,1,1,4,8,93
S01003520,705,701,4,-,7,96,635,3,3,1,8,55
S01003521,523,519,4,-,1,90,436,-,7,-,3,77
S01003522,807,801,4,2,14,102,714,5,6,-,4,78
S01003523,626,620,6,-,1,230,605,-,8,-,2,11
S01003524,"1,035","1,029",4,2,14,136,960,8,6,2,1,58
S01003525,"1,056","1,035",20,1,23,128,941,9,3,1,3,99
S01003526,980,970,10,-,13,156,819,6,9,-,6,140
S01003527,861,855,5,1,17,112,815,5,1,3,4,33
S01003528,501,497,2,2,-,138,491,-,-,1,-,9
S01003529,528,515,11,2,1,129,479,-,-,-,-,49
S01003530,803,797,4,2,15,146,699,8,6,1,2,87
S01003531,744,710,27,7,13,225,622,6,8,3,44,61
S01003532,"1,054","1,046",8,-,22,185,958,9,8,-,9,70
S01003533,269,163,76,30,-,21,60,-,-,-,1,208
S01003534,872,843,27,2,4,264,786,3,5,2,4,72
S01003535,682,670,9,3,9,202,595,3,6,3,26,49
S01003536,"1,008","1,000",5,3,22,143,908,11,9,1,4,75
S01003537,794,775,17,2,17,173,675,3,4,3,5,104
S01003538,610,603,7,-,2,193,588,-,10,1,-,11
S01003539,957,953,3,1,11,135,887,6,2,4,8,50
S01003540,413,396,17,-,2,121,373,-,5,-,8,27
S01003541,857,715,113,29,7,122,349,-,10,8,3,487
S01003542,763,761,1,1,15,105,698,5,3,1,2,54
S01003543,659,591,47,21,3,196,494,1,-,1,34,129
S01003544,508,503,4,1,13,60,415,6,2,-,8,77
S01003545,757,752,5,-,14,102,693,7,1,-,-,56
S01003546,974,950,23,1,6,244,884,-,6,6,5,73
S01003547,739,728,11,-,9,153,616,-,3,1,5,114
S01003549,771,748,16,7,3,267,720,-,7,1,3,40
S01003550,624,597,21,6,2,151,508,-,3,1,2,110
S01003551,637,629,7,1,3,167,593,-,2,2,5,35
S01003552,"1,002",999,3,-,20,131,894,10,7,1,1,89
S01003553,627,615,12,-,6,185,576,3,7,-,22,19
S01003554,731,720,8,3,16,117,643,5,4,-,4,75
S01003555,710,702,6,2,9,97,609,5,5,-,3,88
S01003556,664,658,4,2,22,93,619,10,2,-,3,30
S01003557,716,660,35,21,6,229,601,-,7,3,7,98
S01003558,"1,005","1,002",3,-,23,136,893,16,1,3,2,90
S01003559,927,911,12,4,18,136,867,7,-,1,9,43
S01003560,"1,225","1,213",10,2,32,169,"1,102",15,2,3,-,103
S01003561,"1,229","1,173",47,9,9,293,973,3,1,4,15,233
S01003562,590,558,29,3,15,139,453,9,3,7,28,90
S01003563,511,505,6,-,1,123,489,-,1,-,2,19
S01003564,697,667,23,7,9,260,632,-,5,2,14,44
S01003565,836,826,8,2,8,245,793,1,3,2,-,37
S01003566,717,711,5,1,15,137,635,3,2,-,6,71
S01003567,989,950,36,3,11,352,857,1,6,8,8,109
S01003568,713,711,2,-,10,82,656,1,-,-,2,54
S01003569,694,685,7,2,16,73,637,4,-,6,-,47
S01003570,714,707,7,-,18,114,658,16,-,2,1,37
S01003571,855,832,17,6,19,240,730,7,4,5,21,88
S01003572,"1,038","1,008",29,1,7,284,910,-,11,1,7,109
S01003573,900,878,20,2,5,293,864,-,3,2,2,29
S01003574,"1,001",993,8,-,14,178,891,1,4,-,3,102
S01003575,817,786,30,1,16,241,655,8,3,1,55,95
S01003576,833,822,9,2,8,124,738,1,3,-,4,87
S01003577,917,909,7,1,4,300,887,-,7,-,-,23
S01003578,202,198,2,2,-,57,199,-,-,-,-,3
S01003579,827,796,25,6,3,310,760,1,2,2,14,48
S01003580,966,936,22,8,4,292,831,-,7,4,8,116
S01003581,"2,256","2,218",33,5,39,456,"1,823",7,10,2,37,377
S01003582,643,618,21,4,6,217,571,-,10,6,25,31
S01003583,553,545,6,2,1,192,518,-,3,2,3,27
S01003584,730,614,100,16,6,134,309,3,-,1,54,363
S01003585,661,633,22,6,12,141,518,8,4,2,15,114
S01003586,995,905,76,14,24,233,703,8,3,7,35,239
S01003587,"1,055","1,045",8,2,13,112,960,2,8,1,-,84
S01003588,611,603,6,2,1,188,606,1,1,-,-,3
S01003589,"1,604","1,554",50,-,16,180,"1,162",7,4,4,13,414
S01003590,709,697,9,3,19,172,603,10,1,1,9,85
S01003591,"1,256","1,234",21,1,28,166,"1,100",13,1,8,2,132
S01003592,"1,358","1,325",23,10,17,374,"1,134",9,3,15,15,182
S01003593,618,609,9,-,3,148,578,1,3,1,5,30
S01003594,985,973,11,1,9,136,869,2,4,3,1,106
S01003595,874,851,16,7,6,322,812,4,5,3,7,43
S01003596,773,737,29,7,9,272,666,3,9,7,2,86
S01003597,692,675,16,1,9,97,628,5,2,-,4,53
S01003598,676,668,6,2,-,208,669,-,-,-,-,7
S01003599,933,906,25,2,10,253,834,7,5,1,3,83
S01003600,812,795,11,6,6,308,763,-,7,1,1,40
S01003601,787,765,15,7,3,281,660,-,6,2,7,112
S01003602,618,605,13,-,1,210,602,-,-,4,5,7
S01003603,814,791,20,3,7,208,671,2,9,3,37,92
S01003604,829,810,18,1,11,182,768,2,6,-,10,43
S01003605,629,591,33,5,6,196,488,3,5,2,51,80
S01003606,858,849,9,-,4,247,830,-,7,5,-,16
S01003607,524,520,4,-,1,174,505,-,2,-,3,14
S01003608,543,539,4,-,4,161,501,-,3,-,3,36
S01003609,"1,029","1,020",9,-,19,186,940,9,4,1,3,72
S01003610,940,915,22,3,24,256,809,7,8,4,51,61
S01003611,812,792,16,4,8,249,750,-,3,2,7,50
S01003612,862,842,16,4,11,148,770,1,2,-,6,83
S01003613,"1,391","1,367",22,2,9,329,"1,173",4,2,2,2,208
S01003614,526,518,8,-,5,80,489,5,-,-,-,32
S01003615,799,771,22,6,8,270,631,3,2,10,22,131
S01003616,823,794,24,5,6,138,641,4,-,2,-,176
S01003617,796,759,29,8,6,251,655,-,7,2,36,96
S01003618,766,754,11,1,13,179,719,11,8,-,6,22
S01003619,775,756,17,2,3,254,704,-,6,2,9,54
S01003620,988,966,19,3,24,172,820,14,6,-,8,140
S01003621,922,917,5,-,5,310,907,-,1,4,1,9
S01003622,787,778,8,1,4,218,754,3,2,2,7,19
S01003623,883,865,13,5,18,151,748,9,6,3,-,117
S01003624,"1,494","1,454",29,11,10,470,"1,352",5,11,4,8,114
S01003625,342,338,4,-,10,91,320,3,-,4,2,13
S01003626,778,764,11,3,-,156,711,1,2,1,8,55
S01003627,599,579,16,4,7,160,534,-,2,-,4,59
S01003628,721,713,8,-,2,203,704,-,4,3,-,10
S01003629,734,722,11,1,4,207,710,-,1,1,3,19
S01003630,739,722,15,2,9,180,661,4,2,2,22,48
S01003631,"1,219","1,196",12,11,35,257,"1,063",18,10,6,-,122
S01003632,910,885,21,4,28,141,699,25,-,-,3,183
S01003633,"1,219","1,204",12,3,21,296,"1,126",15,5,5,20,48
S01003634,"1,013",989,20,4,2,314,968,-,9,2,1,33
S01003635,550,535,12,3,7,140,496,2,-,1,15,36
S01003636,893,881,10,2,8,265,852,4,2,8,4,23
S01003637,"1,019","1,001",18,-,25,196,943,17,3,-,3,53
S01003638,732,722,9,1,28,135,634,11,2,-,-,85
S01003639,743,733,9,1,3,195,706,1,3,-,-,33
S01003640,937,912,24,1,9,307,873,7,6,5,14,32
S01003641,693,682,11,-,1,136,636,-,1,2,-,54
S01003642,829,817,10,2,6,194,795,4,7,2,2,19
S01003643,645,636,9,-,4,207,577,1,10,1,9,47
S01003644,941,924,16,1,5,259,860,-,7,2,3,69
S01003645,524,511,12,1,7,125,485,2,-,3,3,31
S01003646,848,732,97,19,13,204,473,3,4,2,56,310
S01003647,702,696,5,1,14,141,646,9,4,4,2,37
S01003648,791,773,12,6,24,173,671,10,4,-,10,96
S01003649,939,904,30,5,4,242,825,-,-,-,1,113
S01003650,722,708,13,1,7,217,670,3,2,1,9,37
S01003651,700,670,26,4,6,169,616,3,2,3,11,65
S01003652,707,687,18,2,6,226,631,4,6,-,10,56
S01003653,702,688,12,2,5,221,675,3,3,5,-,16
S01003654,"1,091","1,067",17,7,10,289,"1,006",1,10,1,4,69
S01003655,644,632,11,1,2,221,632,-,-,3,-,9
S01003656,844,820,17,7,2,234,754,-,2,1,1,86
S01003657,805,778,20,7,2,250,729,2,5,9,7,53
S01003658,843,834,6,3,12,247,798,10,1,3,2,29
S01003659,730,719,8,3,11,139,644,5,4,-,3,74
S01003660,933,914,17,2,19,213,819,14,1,1,-,98
S01003661,907,896,9,2,31,187,813,15,4,4,6,65
S01003662,619,599,15,5,4,126,523,2,5,1,4,84
S01003663,564,551,11,2,6,170,514,-,2,-,4,44
S01003664,491,479,10,2,4,129,468,-,-,3,4,16
S01003665,588,544,37,7,2,194,455,-,12,15,30,76
S01003666,634,624,9,1,6,207,598,-,6,3,3,24
S01003667,820,809,11,-,6,201,790,1,3,-,4,22
S01003668,759,748,11,-,14,145,725,12,1,-,-,21
S01003669,889,882,4,3,2,269,871,-,5,5,4,4
S01003670,910,900,10,-,5,278,853,-,5,-,1,51
S01003671,644,637,5,2,4,200,592,2,7,1,4,38
S01003672,716,702,11,3,1,237,684,-,1,5,11,15
S01003673,306,296,9,1,3,107,274,-,4,1,-,27
S01003674,760,752,7,1,16,202,730,10,3,3,1,13
S01003675,850,831,14,5,15,148,730,8,4,2,2,104
S01003676,"1,144","1,127",16,1,23,213,992,11,3,4,12,122
S01003677,669,654,14,1,1,218,638,-,2,2,10,17
S01003678,657,651,5,1,7,187,634,6,3,3,-,11
S01003679,995,974,15,6,23,250,891,15,6,4,10,69
S01003680,610,606,4,-,1,208,593,-,2,-,3,12
S01003681,547,541,4,2,6,139,518,3,3,-,5,18
S01003682,"1,025",996,19,10,10,213,943,6,4,5,-,67
S01003683,608,601,5,2,7,182,570,4,3,7,-,24
S01003684,774,767,7,-,10,204,723,3,9,5,3,31
S01003685,538,530,6,2,2,168,518,-,4,1,-,15
S01003686,906,889,11,6,1,263,824,-,3,-,15,64
S01003687,623,615,7,1,2,207,604,-,1,-,4,14
S01003688,852,842,5,5,9,260,810,9,7,1,4,21
S01003689,638,621,17,-,15,238,601,7,4,3,3,20
S01003690,917,898,19,-,6,233,826,4,3,2,2,80
S01003691,996,988,7,1,12,297,936,8,3,5,1,43
S01003692,982,978,2,2,23,297,930,11,3,3,3,32
S01003693,528,522,5,1,9,169,501,6,3,1,-,17
S01003694,963,948,13,2,16,247,895,17,1,2,-,48
S01003695,"1,076","1,049",20,7,7,279,934,-,4,2,10,126
S01003696,997,988,7,2,19,262,958,8,2,3,3,23
S01003697,907,894,9,4,15,171,860,5,1,1,-,40
S01003698,971,961,10,-,20,239,935,13,5,-,-,18
S01003699,905,898,7,-,5,254,864,3,1,1,-,36
S01003700,935,922,13,-,2,231,904,-,1,-,3,27
S01003701,953,933,17,3,15,265,861,4,8,5,7,68
S01003702,776,755,11,10,2,239,709,2,2,-,9,54
S01003703,"1,022",996,24,2,4,359,950,2,2,-,7,61
S01003704,635,631,4,-,3,193,608,2,2,2,5,16
S01003705,843,826,14,3,3,303,787,-,10,2,15,29
S01003706,688,675,13,-,4,199,633,-,4,2,7,42
S01003707,"1,027","1,015",12,-,1,330,970,-,2,9,-,46
S01003708,902,872,18,12,3,327,818,1,9,3,22,49
S01003709,803,771,25,7,4,261,710,1,10,7,8,67
S01003710,"1,124","1,104",17,3,10,312,"1,065",4,2,2,1,50
S01003711,895,880,14,1,3,319,853,1,11,-,14,16
S01003712,901,883,15,3,-,285,865,-,7,6,9,14
S01003713,483,475,6,2,4,177,468,-,3,-,4,8
S01003714,595,582,9,4,2,196,541,-,7,-,7,40
S01003715,768,750,16,2,4,238,748,2,2,1,2,13
S01003716,549,539,6,4,2,191,532,-,2,-,-,15
S01003717,815,802,12,1,-,311,786,-,7,8,3,11
S01003718,718,701,16,1,3,253,675,1,2,2,6,32
S01003719,642,638,4,-,25,133,604,5,3,-,2,28
S01003720,964,956,7,1,134,160,883,44,3,2,7,25
S01003721,786,778,7,1,48,110,748,16,6,-,2,14
S01003722,863,857,5,1,29,176,831,6,2,-,6,18
S01003723,510,504,6,-,29,90,476,5,6,-,1,22
S01003724,734,725,8,1,49,149,673,16,5,1,8,31
S01003725,589,580,7,2,33,111,523,15,2,1,9,39
S01003726,631,607,20,4,28,120,557,8,3,-,27,36
S01003727,718,704,14,-,34,170,663,8,1,-,17,29
S01003728,538,526,6,6,127,73,422,97,5,3,-,11
S01003729,827,810,16,1,44,152,764,15,2,3,11,32
S01003730,602,562,35,5,38,185,480,18,2,-,60,42
S01003731,596,570,23,3,47,98,527,8,-,1,27,33
S01003732,917,914,3,-,65,156,860,25,3,2,8,19
S01003733,830,821,8,1,49,181,788,20,2,1,3,16
S01003734,685,672,12,1,48,135,635,12,2,3,11,22
S01003735,801,791,10,-,78,144,744,33,2,3,10,9
S01003736,774,758,14,2,41,166,723,14,2,2,-,33
S01003737,591,584,7,-,34,122,566,13,1,-,-,11
S01003738,747,744,3,-,48,126,698,24,5,1,2,17
S01003739,515,512,2,1,75,79,460,38,2,1,1,13
S01003740,600,596,4,-,37,100,550,16,3,10,2,19
S01003741,924,920,4,-,78,191,836,33,4,-,12,39
S01003742,689,686,3,-,48,124,652,11,7,1,-,18
S01003743,541,539,1,1,31,122,508,15,6,-,1,11
S01003744,642,636,6,-,44,105,603,15,3,5,3,13
S01003745,777,776,1,-,102,136,703,60,5,-,2,7
S01003746,817,811,6,-,89,119,748,48,-,-,4,17
S01003747,"1,072","1,065",7,-,77,228,988,36,4,-,15,29
S01003748,587,578,8,1,22,125,527,11,6,3,15,25
S01003749,855,847,7,1,25,205,810,11,3,-,11,20
S01003750,694,691,2,1,21,171,659,11,6,-,2,16
S01003751,"1,079","1,057",21,1,20,247,956,7,6,4,44,62
S01003752,888,883,3,2,344,141,631,233,3,3,2,16
S01003753,"1,073","1,066",7,-,26,210,"1,019",2,7,6,7,32
S01003754,814,809,5,-,14,238,778,4,5,2,15,10
S01003755,"1,560","1,527",32,1,36,365,"1,345",10,18,4,85,98
S01003756,884,880,4,-,13,202,849,2,4,-,10,19
S01003757,593,592,1,-,96,72,553,31,2,3,-,4
S01003758,932,924,5,3,41,204,870,25,10,3,2,22
S01003759,614,613,1,-,16,152,569,12,4,-,10,19
S01003760,820,812,6,2,12,216,787,5,3,1,5,19
S01003761,926,922,4,-,214,143,786,101,8,8,6,17
S01003762,"1,052","1,044",7,1,44,223,"1,006",19,2,-,5,20
S01003763,884,878,6,-,183,153,777,72,2,3,2,28
S01003764,845,834,8,3,13,257,793,2,7,-,20,23
S01003765,636,633,3,-,103,105,597,34,1,-,1,3
S01003766,716,706,9,1,6,205,663,3,7,2,10,31
S01003767,791,767,17,7,13,210,724,2,3,1,34,27
S01003768,609,604,5,-,151,66,516,77,5,2,-,9
S01003769,921,917,3,1,34,188,870,19,12,1,-,19
S01003770,801,800,1,-,54,142,731,36,1,2,-,31
S01003771,738,730,7,1,7,191,711,-,6,6,4,11
S01003772,590,585,4,1,10,162,550,3,7,-,14,16
S01003773,676,672,2,2,74,97,636,17,1,4,-,18
S01003774,744,741,2,1,126,87,656,60,-,8,-,20
S01003775,894,893,-,1,33,129,853,11,4,3,4,19
S01003776,682,674,8,-,25,126,640,10,3,1,7,21
S01003777,"1,073","1,068",4,1,54,151,"1,016",24,5,9,4,15
S01003778,"2,971","2,944",26,1,134,529,"2,744",71,7,6,68,75
S01003779,487,484,3,-,155,54,381,87,2,2,-,15
S01003780,"1,045","1,038",7,-,55,180,"1,004",23,5,2,2,9
S01003781,"1,091","1,081",9,1,73,242,"1,005",33,14,2,20,17
S01003782,608,603,5,-,10,162,593,1,4,1,1,8
S01003783,"1,198","1,184",14,-,45,277,"1,123",14,3,7,14,37
S01003784,"1,596","1,579",15,2,91,256,"1,487",46,2,1,13,47
S01003785,792,789,3,-,43,143,742,25,5,1,4,15
S01003786,865,859,4,2,50,180,798,18,12,5,9,23
S01003787,583,577,3,3,43,118,526,26,3,5,3,20
S01003788,693,682,11,-,59,145,620,30,2,-,18,23
S01003789,482,478,4,-,26,91,448,13,-,3,2,16
S01003790,544,536,7,1,23,115,498,8,-,2,26,10
S01003791,780,767,11,2,37,144,710,15,5,-,17,33
S01003792,"2,145","2,121",21,3,85,361,"1,925",40,2,1,68,109
S01003793,520,512,7,1,18,146,481,6,-,1,18,14
S01003794,680,676,4,-,35,116,629,19,-,1,7,24
S01003795,637,631,6,-,17,95,608,3,4,1,7,14
S01003796,642,618,20,4,33,172,566,19,4,5,29,19
S01003797,890,882,7,1,50,207,828,21,1,2,16,22
S01003798,830,825,5,-,49,131,777,24,2,-,7,20
S01003799,728,727,1,-,47,121,663,39,-,1,9,16
S01003800,611,610,1,-,205,104,475,111,2,2,3,18
