Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01003335,477,477,-,-,477,451,3,23,1,3,16,450,5,2,-
S01003336,500,500,-,-,500,497,-,3,8,49,114,294,-,-,35
S01003337,604,604,-,-,604,587,1,16,35,67,83,352,2,-,65
S01003338,467,466,1,-,468,455,1,12,5,52,105,302,2,2,-
S01003339,337,337,-,-,337,329,-,8,5,30,43,257,2,-,-
S01003340,559,559,-,-,559,551,-,8,14,61,97,385,1,-,1
S01003341,352,352,-,-,352,345,-,7,97,160,69,26,-,-,-
S01003342,468,468,-,-,468,353,-,115,2,7,4,452,2,1,-
S01003343,299,299,-,-,299,299,-,-,4,50,30,215,-,-,-
S01003344,197,197,-,-,197,191,3,3,32,36,104,25,-,-,-
S01003345,526,526,-,-,526,512,-,14,5,15,15,488,3,-,-
S01003346,387,387,-,-,387,383,-,4,4,109,112,162,-,-,-
S01003347,516,516,-,-,516,509,-,7,17,39,74,379,2,-,5
S01003348,620,620,-,-,620,595,2,23,4,37,49,514,8,8,-
S01003349,643,643,-,-,643,630,-,13,6,149,82,399,3,4,-
S01003350,370,370,-,-,370,365,-,5,44,45,125,156,-,-,-
S01003351,620,619,1,-,621,607,1,13,2,2,22,577,12,5,1
S01003352,545,545,-,-,545,538,-,7,12,126,160,246,-,-,1
S01003353,523,521,2,-,525,440,-,85,-,1,3,506,4,11,-
S01003354,349,349,-,-,349,325,-,24,1,64,17,245,-,-,22
S01003355,583,583,-,-,583,581,-,2,1,6,33,537,4,2,-
S01003356,521,521,-,-,521,516,-,5,-,1,5,510,-,5,-
S01003357,288,287,1,-,289,206,-,83,6,2,6,272,3,-,-
S01003358,"1,188","1,188",-,-,"1,188","1,130",22,36,3,3,17,"1,024",30,111,-
S01003359,364,364,-,-,364,355,3,6,84,200,60,17,1,2,-
S01003360,314,314,-,-,314,312,-,2,38,77,133,65,1,-,-
S01003361,388,388,-,-,388,380,-,8,3,37,135,210,-,-,3
S01003362,314,314,-,-,314,306,1,7,2,24,123,165,-,-,-
S01003363,367,367,-,-,367,365,-,2,7,119,88,152,1,-,-
S01003364,365,365,-,-,365,332,-,33,5,22,76,257,4,1,-
S01003365,322,322,-,-,322,318,-,4,1,12,33,265,10,1,-
S01003366,436,436,-,-,436,422,4,10,-,1,3,404,8,20,-
S01003367,698,697,-,1,706,671,1,34,11,30,99,546,17,2,1
S01003368,939,937,-,2,945,921,11,13,2,3,18,892,15,15,-
S01003369,380,380,-,-,380,329,-,51,3,83,10,283,-,-,1
S01003370,398,398,-,-,398,390,1,7,-,2,5,385,2,4,-
S01003371,420,420,-,-,420,403,-,17,-,-,6,413,-,1,-
S01003372,286,286,-,-,286,282,-,4,7,202,8,66,2,-,1
S01003373,"1,691","1,689",2,-,"1,693","1,454",29,210,11,12,11,"1,599",15,43,2
S01003374,216,216,-,-,216,214,-,2,-,3,15,196,2,-,-
S01003375,418,418,-,-,418,414,1,3,37,99,147,132,2,1,-
S01003376,254,254,-,-,254,249,-,5,1,22,13,217,1,-,-
S01003377,358,358,-,-,358,353,-,5,9,213,21,111,2,-,2
S01003378,443,442,1,-,444,433,-,11,2,46,12,381,3,-,-
S01003379,286,286,-,-,286,277,-,9,14,46,53,173,-,-,-
S01003380,636,636,-,-,636,614,-,22,4,10,43,528,51,-,-
S01003381,365,365,-,-,365,356,-,9,3,146,132,82,1,1,-
S01003382,"1,042","1,042",-,-,"1,042",930,9,103,1,3,6,"1,019",3,10,-
S01003383,468,468,-,-,468,461,-,7,6,102,60,298,-,-,2
S01003384,477,477,-,-,477,475,-,2,10,82,108,266,10,-,1
S01003385,468,468,-,-,468,456,1,11,2,2,1,460,3,-,-
S01003386,374,374,-,-,374,368,-,6,5,44,96,226,2,-,1
S01003387,479,477,2,-,481,455,2,24,2,18,17,439,4,1,-
S01003388,603,603,-,-,603,580,1,22,4,22,77,497,2,-,1
S01003389,618,618,-,-,618,610,-,8,-,2,8,606,1,-,1
S01003390,534,534,-,-,534,530,-,4,13,128,103,287,2,-,1
S01003391,414,414,-,-,414,405,-,9,1,1,3,406,2,1,-
S01003392,469,469,-,-,469,455,-,14,2,2,5,459,1,-,-
S01003393,485,485,-,-,485,432,1,52,3,115,40,325,-,-,2
S01003394,261,261,-,-,261,252,-,9,14,24,9,212,2,-,-
S01003395,361,361,-,-,361,353,-,8,1,1,3,354,2,-,-
S01003396,462,460,2,-,464,461,-,3,3,5,11,429,14,2,-
S01003397,446,446,-,-,446,444,1,1,14,97,78,256,1,-,-
S01003398,413,413,-,-,413,404,-,9,6,25,37,343,2,-,-
S01003399,660,655,2,3,699,685,2,12,1,3,3,606,51,35,-
S01003400,378,378,-,-,378,362,-,16,3,149,17,206,3,-,-
S01003401,368,368,-,-,368,360,-,8,1,3,8,355,-,1,-
S01003402,421,421,-,-,421,419,-,2,13,145,51,212,-,-,-
S01003403,641,641,-,-,641,608,3,30,3,2,9,622,3,2,-
S01003404,267,267,-,-,267,267,-,-,10,82,84,91,-,-,-
S01003405,380,380,-,-,380,374,1,5,2,58,190,127,2,1,-
S01003406,404,404,-,-,404,398,-,6,-,1,2,400,-,1,-
S01003407,432,432,-,-,432,425,-,7,2,110,12,305,3,-,-
S01003408,372,372,-,-,372,330,-,42,1,1,12,354,3,1,-
S01003409,804,803,1,-,805,783,5,17,4,11,38,716,34,2,-
S01003410,800,797,2,1,806,730,27,49,2,9,10,669,19,97,-
S01003411,435,435,-,-,435,433,-,2,2,25,50,357,1,-,-
S01003412,462,461,1,-,463,461,-,2,21,86,101,249,6,-,-
S01003413,300,300,-,-,300,296,-,4,10,116,31,141,2,-,-
S01003414,224,223,1,-,225,219,-,6,2,71,35,117,-,-,-
S01003415,469,469,-,-,469,468,-,1,1,4,5,454,3,2,-
S01003416,536,535,1,-,537,535,-,2,1,4,6,521,3,2,-
S01003417,568,568,-,-,568,562,-,6,2,1,4,552,4,5,-
S01003418,516,516,-,-,516,503,1,12,4,15,47,442,7,1,-
S01003419,434,434,-,-,434,431,-,3,2,45,15,369,3,-,-
S01003420,199,199,-,-,199,198,-,1,7,66,22,102,2,-,-
S01003421,427,427,-,-,427,419,1,7,6,162,19,236,3,1,-
S01003422,429,429,-,-,429,424,-,5,4,6,8,411,-,-,-
S01003423,491,491,-,-,491,466,4,21,-,-,4,476,7,4,-
S01003424,624,624,-,-,624,615,-,9,2,8,10,598,5,1,-
S01003425,423,423,-,-,423,420,1,2,-,2,10,402,5,4,-
S01003426,643,642,1,-,644,623,1,20,2,2,20,613,7,-,-
S01003427,515,515,-,-,515,491,-,24,8,116,9,378,4,-,-
S01003428,450,449,-,1,452,424,-,28,4,25,6,412,2,2,1
S01003429,371,371,-,-,371,365,3,3,-,2,5,354,8,2,-
S01003430,441,441,-,-,441,426,-,15,5,1,3,415,14,3,-
S01003431,490,490,-,-,490,481,1,8,3,8,9,469,1,-,-
S01003432,400,400,-,-,400,387,-,13,1,2,8,379,5,5,-
S01003433,578,576,-,2,587,555,4,28,2,8,3,533,24,17,-
S01003434,438,438,-,-,438,431,1,6,8,96,25,309,-,-,-
S01003435,320,320,-,-,320,318,-,2,11,87,51,166,4,1,-
S01003436,239,238,-,1,241,238,-,3,-,71,46,106,12,3,3
S01003437,354,353,-,1,356,349,3,4,4,1,16,306,26,3,-
S01003438,649,649,-,-,649,638,5,6,1,2,7,632,7,-,-
S01003439,816,813,-,3,824,817,2,5,-,1,10,801,7,5,-
S01003440,221,221,-,-,221,216,-,5,5,61,7,147,-,1,-
S01003441,766,761,4,1,772,762,-,10,2,12,19,731,5,3,-
S01003442,515,515,-,-,515,514,-,1,14,33,33,433,2,-,-
S01003443,546,541,-,5,564,476,-,88,3,29,16,514,1,1,-
S01003444,370,370,-,-,370,366,-,4,6,42,32,289,1,-,-
S01003445,492,491,1,-,493,485,1,7,2,89,32,369,1,-,-
S01003446,277,276,-,1,285,274,1,10,1,1,1,274,5,3,-
S01003447,537,536,1,-,538,526,1,11,2,-,2,532,2,-,-
S01003448,374,374,-,-,374,369,-,5,5,104,31,229,4,-,1
S01003449,426,425,-,1,429,417,-,12,4,4,5,387,29,-,-
S01003450,652,652,-,-,652,645,2,5,1,2,4,642,2,1,-
S01003451,521,521,-,-,521,517,1,3,1,5,26,482,4,1,2
S01003452,255,255,-,-,255,250,-,5,17,104,45,87,2,-,-
S01003453,719,719,-,-,719,658,16,45,9,9,36,462,199,4,-
S01003454,301,301,-,-,301,291,1,9,-,4,5,287,3,2,-
S01003455,383,383,-,-,383,382,-,1,13,55,98,210,5,2,-
S01003456,132,132,-,-,132,128,-,4,1,12,12,105,2,-,-
S01003457,576,574,-,2,580,577,-,3,2,4,9,556,7,2,-
S01003458,510,510,-,-,510,508,1,1,10,94,28,374,4,-,-
S01003459,371,371,-,-,371,367,-,4,2,53,73,240,3,-,-
S01003460,610,610,-,-,610,593,1,16,-,7,32,543,27,1,-
S01003461,333,333,-,-,333,331,-,2,-,244,53,29,7,-,-
S01003462,254,254,-,-,254,244,-,10,1,10,16,227,-,-,-
S01003463,352,350,2,-,354,294,-,60,3,6,1,339,5,-,-
S01003464,439,439,-,-,439,427,1,11,4,5,4,398,24,4,-
S01003465,"1,764","1,761",2,1,"1,768","1,625",31,112,1,4,22,"1,724",12,4,1
S01003466,464,464,-,-,464,459,-,5,-,3,9,446,2,3,1
S01003467,353,353,-,-,353,347,-,6,10,23,246,73,1,-,-
S01003468,383,383,-,-,383,373,1,9,1,2,5,364,11,-,-
S01003469,607,605,2,-,609,584,4,21,5,7,53,538,4,2,-
S01003470,708,707,1,-,709,694,4,11,5,1,1,693,5,4,-
S01003471,316,316,-,-,316,315,-,1,8,48,61,199,-,-,-
S01003472,453,450,1,2,460,394,-,66,2,3,3,450,-,2,-
S01003473,599,598,1,-,600,593,2,5,7,12,20,559,1,1,-
S01003474,281,281,-,-,281,275,-,6,4,-,2,273,2,-,-
S01003475,437,437,-,-,437,432,-,5,3,7,10,400,10,6,1
S01003476,440,440,-,-,440,435,3,2,51,185,97,107,-,-,-
S01003477,732,731,1,-,733,716,1,16,-,10,5,717,1,-,-
S01003478,470,470,-,-,470,460,2,8,2,-,-,463,2,2,1
S01003479,511,511,-,-,511,498,3,10,1,1,5,489,13,2,-
S01003480,480,480,-,-,480,471,1,8,4,10,65,381,3,1,16
S01003481,597,597,-,-,597,585,2,10,3,2,1,567,21,3,-
S01003482,384,381,1,2,392,388,1,3,3,5,5,368,10,1,-
S01003483,273,273,-,-,273,271,-,2,3,20,119,131,-,-,-
S01003484,462,462,-,-,462,446,-,16,1,3,18,421,16,3,-
S01003485,417,416,1,-,418,409,-,9,2,3,1,409,3,-,-
S01003486,400,400,-,-,400,391,-,9,20,72,133,165,2,-,8
S01003487,493,493,-,-,493,481,-,12,4,3,10,466,6,4,-
S01003488,390,390,-,-,390,384,-,6,2,13,8,366,1,-,-
S01003489,632,632,-,-,632,602,-,30,54,219,53,303,3,-,-
S01003490,343,342,1,-,344,338,1,5,1,4,14,323,2,-,-
S01003491,44,44,-,-,44,44,-,-,-,1,5,38,-,-,-
S01003492,607,604,2,1,611,609,2,-,5,5,17,565,9,10,-
S01003493,508,507,1,-,509,490,-,19,1,4,22,465,17,-,-
S01003494,481,481,-,-,481,481,-,-,1,3,19,438,17,3,-
S01003495,485,485,-,-,485,481,1,3,10,47,42,377,3,6,-
S01003496,654,654,-,-,654,634,1,19,8,15,59,555,14,3,-
S01003497,530,530,-,-,530,521,-,9,1,5,6,502,15,1,-
S01003498,566,565,-,1,568,555,-,13,2,12,27,510,17,-,-
S01003499,651,651,-,-,651,637,1,13,2,1,3,640,4,-,1
S01003500,334,333,-,1,336,333,-,3,3,6,3,321,1,1,1
S01003501,381,380,-,1,384,367,1,16,3,3,11,338,22,7,-
S01003502,743,742,1,-,744,706,3,35,342,118,72,200,11,1,-
S01003503,378,377,-,1,392,388,2,2,-,1,4,347,40,-,-
S01003504,375,372,1,2,384,375,2,7,3,2,10,292,77,-,-
S01003506,523,522,1,-,524,514,2,8,2,1,30,400,90,1,-
S01003507,287,287,-,-,287,283,-,4,-,1,1,283,1,1,-
S01003508,525,525,-,-,525,516,-,9,-,5,12,496,10,2,-
S01003509,479,478,-,1,481,469,3,9,2,4,37,334,102,2,-
S01003510,240,239,1,-,241,241,-,-,-,-,8,230,1,2,-
S01003511,550,550,-,-,550,530,1,19,25,26,33,414,49,3,-
S01003512,367,367,-,-,367,361,-,6,4,5,130,228,-,-,-
S01003513,286,286,-,-,286,272,-,14,3,-,7,234,41,1,-
S01003514,426,425,-,1,430,418,5,7,1,2,5,356,57,9,-
S01003515,276,276,-,-,276,272,-,4,8,76,44,148,-,-,-
S01003516,314,314,-,-,314,307,-,7,57,121,33,103,-,-,-
S01003517,455,455,-,-,455,449,1,5,1,-,35,408,5,6,-
S01003518,627,625,2,-,629,621,-,8,8,4,20,591,1,5,-
S01003519,336,336,-,-,336,332,-,4,3,5,16,307,3,2,-
S01003520,419,419,-,-,419,400,6,13,2,3,13,279,121,1,-
S01003521,226,226,-,-,226,219,2,5,1,3,4,197,20,1,-
S01003522,441,439,-,2,447,435,2,10,3,2,21,187,234,-,-
S01003523,349,349,-,-,349,347,-,2,16,63,114,152,4,-,-
S01003524,571,571,-,-,571,561,2,8,5,18,53,470,21,4,-
S01003525,604,604,-,-,604,583,3,18,1,9,71,514,9,-,-
S01003526,471,467,2,2,477,461,2,14,5,9,49,232,180,2,-
S01003527,354,354,-,-,354,346,1,7,8,112,106,124,3,1,-
S01003528,200,200,-,-,200,192,8,-,6,111,57,26,-,-,-
S01003529,213,213,-,-,213,210,-,3,13,121,45,34,-,-,-
S01003530,451,451,-,-,451,428,3,20,-,-,14,403,34,-,-
S01003531,443,443,-,-,443,433,-,10,2,10,36,392,2,1,-
S01003532,489,489,-,-,489,483,-,6,4,23,285,164,12,1,-
S01003533,212,210,-,2,217,176,-,41,3,6,1,203,1,2,1
S01003534,575,573,2,-,577,565,1,11,2,4,23,542,3,3,-
S01003535,415,415,-,-,415,406,-,9,2,9,90,291,23,-,-
S01003536,529,529,-,-,529,513,1,15,5,3,24,492,5,-,-
S01003537,490,490,-,-,490,478,-,12,6,8,61,412,3,-,-
S01003538,287,287,-,-,287,286,-,1,12,110,24,140,1,-,-
S01003539,524,524,-,-,524,500,3,21,3,30,144,338,8,1,-
S01003540,270,270,-,-,270,264,1,5,1,14,7,248,-,-,-
S01003541,462,461,-,1,465,364,-,101,5,15,13,429,2,1,-
S01003542,416,415,1,-,417,406,4,7,8,15,28,158,207,1,-
S01003543,381,380,-,1,383,381,-,2,4,38,35,299,6,1,-
S01003544,232,232,-,-,232,226,-,6,1,5,5,216,5,-,-
S01003545,413,412,-,1,416,408,2,6,8,5,39,146,217,1,-
S01003546,550,549,1,-,551,541,-,10,6,49,58,429,8,1,-
S01003547,451,450,-,1,454,433,-,21,7,22,8,386,29,1,1
S01003549,387,387,-,-,387,381,-,6,3,24,17,340,3,-,-
S01003550,251,251,-,-,251,246,3,2,90,118,34,9,-,-,-
S01003551,359,358,1,-,360,355,-,5,2,25,65,267,1,-,-
S01003552,634,634,-,-,634,615,6,13,1,7,29,586,9,2,-
S01003553,359,359,-,-,359,356,-,3,1,5,9,344,-,-,-
S01003554,428,428,-,-,428,408,1,19,5,2,2,406,13,-,-
S01003555,342,341,-,1,344,335,3,6,7,9,25,220,83,-,-
S01003556,261,261,-,-,261,258,1,2,2,28,188,43,-,-,-
S01003557,441,441,-,-,441,365,-,76,4,8,31,396,1,1,-
S01003558,522,522,-,-,522,509,1,12,3,2,19,426,72,-,-
S01003559,395,395,-,-,395,388,2,5,2,16,273,104,-,-,-
S01003560,624,624,-,-,624,608,5,11,12,68,182,352,10,-,-
S01003561,559,558,-,1,561,550,1,10,6,16,64,470,4,1,-
S01003562,341,341,-,-,341,331,1,9,-,-,7,332,2,-,-
S01003563,236,236,-,-,236,234,-,2,2,21,33,180,-,-,-
S01003564,354,352,2,-,356,351,-,5,6,38,29,279,-,4,-
S01003565,454,454,-,-,454,452,-,2,4,26,13,410,-,1,-
S01003566,407,407,-,-,407,394,-,13,1,2,24,375,5,-,-
S01003567,470,470,-,-,470,469,-,1,10,75,58,322,2,3,-
S01003568,371,371,-,-,371,355,6,10,7,36,55,137,135,1,-
S01003569,312,312,-,-,312,290,-,22,9,51,150,100,2,-,-
S01003570,328,328,-,-,328,319,1,8,36,7,122,162,1,-,-
S01003571,470,468,1,1,474,464,-,10,1,4,26,441,1,1,-
S01003572,572,572,-,-,572,559,-,13,3,19,49,495,4,2,-
S01003573,478,478,-,-,478,476,-,2,4,50,18,405,1,-,-
S01003574,559,558,-,1,566,549,3,14,6,11,13,509,26,1,-
S01003575,448,447,-,1,459,451,1,7,-,2,7,445,5,-,-
S01003576,434,434,-,-,434,424,4,6,20,34,30,264,86,-,-
S01003577,393,393,-,-,393,391,-,2,24,206,90,73,-,-,-
S01003578,94,94,-,-,94,94,-,-,5,46,28,15,-,-,-
S01003579,428,428,-,-,428,425,1,2,11,100,59,256,-,2,-
S01003580,608,607,1,-,609,587,-,22,5,13,13,574,3,-,1
S01003581,717,717,-,-,717,711,1,5,7,21,49,632,3,5,-
S01003582,416,416,-,-,416,416,-,-,9,30,18,353,6,-,-
S01003583,282,282,-,-,282,280,-,2,4,86,8,181,-,2,1
S01003584,361,359,2,-,363,338,-,25,1,4,5,349,3,1,-
S01003585,451,449,2,-,453,437,1,15,1,2,4,437,4,3,2
S01003586,505,502,1,2,511,499,-,12,-,34,126,345,5,1,-
S01003587,371,371,-,-,371,365,-,6,10,77,240,40,3,1,-
S01003588,296,296,-,-,296,294,-,2,33,146,17,99,1,-,-
S01003589,530,530,-,-,530,507,4,19,20,107,30,271,102,-,-
S01003590,406,405,1,-,407,383,-,24,1,11,15,377,1,1,1
S01003591,504,504,-,-,504,493,-,11,89,205,91,115,3,1,-
S01003592,713,713,-,-,713,713,-,-,15,118,33,543,2,2,-
S01003593,296,296,-,-,296,291,1,4,8,90,54,143,-,-,1
S01003594,462,462,-,-,462,449,3,10,24,117,38,143,139,1,-
S01003595,458,458,-,-,458,455,-,3,18,79,62,299,-,-,-
S01003596,631,628,1,2,642,611,-,31,2,12,11,596,15,5,1
S01003597,353,352,1,-,354,340,6,8,36,98,7,176,37,-,-
S01003598,307,307,-,-,307,305,-,2,6,120,94,85,-,2,-
S01003599,451,451,-,-,451,445,-,6,44,103,68,231,4,-,1
S01003600,538,538,-,-,538,507,-,31,1,1,19,509,8,-,-
S01003601,410,409,1,-,411,406,-,5,5,5,40,353,6,2,-
S01003602,276,276,-,-,276,268,-,8,5,96,130,43,1,1,-
S01003603,445,444,1,-,446,438,-,8,4,62,80,297,2,1,-
S01003604,447,447,-,-,447,432,2,13,1,4,2,435,3,2,-
S01003605,368,367,-,1,373,372,-,1,4,38,26,301,3,1,-
S01003606,425,425,-,-,425,416,1,8,3,83,106,226,4,3,-
S01003607,214,214,-,-,214,212,-,2,15,71,79,49,-,-,-
S01003608,276,275,1,-,277,269,-,8,3,53,31,186,1,-,3
S01003609,503,503,-,-,503,497,1,5,9,45,192,251,5,1,-
S01003610,517,517,-,-,517,512,-,5,4,5,26,479,-,2,1
S01003611,500,499,-,1,502,492,1,9,12,25,32,432,1,-,-
S01003612,492,492,-,-,492,476,2,14,19,45,11,412,4,1,-
S01003613,568,568,-,-,568,557,5,6,285,172,43,66,1,-,1
S01003614,282,282,-,-,282,272,1,9,9,33,46,192,1,1,-
S01003615,373,373,-,-,373,370,-,3,2,60,87,223,1,-,-
S01003616,300,300,-,-,300,294,-,6,156,91,40,13,-,-,-
S01003617,513,511,2,-,515,499,-,16,5,4,4,495,6,-,1
S01003618,381,381,-,-,381,376,1,4,3,194,44,133,7,-,-
S01003619,464,464,-,-,464,456,-,8,1,1,6,453,2,1,-
S01003620,512,512,-,-,512,502,2,8,9,200,4,286,13,-,-
S01003621,502,502,-,-,502,501,-,1,3,107,16,375,1,-,-
S01003622,417,417,-,-,417,408,-,9,2,123,32,259,1,-,-
S01003623,342,342,-,-,342,337,-,5,6,170,148,14,4,-,-
S01003624,662,662,-,-,662,652,-,10,29,202,99,329,-,3,-
S01003625,189,189,-,-,189,188,-,1,1,9,34,142,3,-,-
S01003626,332,332,-,-,332,329,2,1,77,152,53,45,5,-,-
S01003627,363,361,1,1,367,361,1,5,7,13,19,326,2,-,-
S01003628,275,275,-,-,275,274,-,1,5,63,62,142,3,-,-
S01003629,410,410,-,-,410,403,-,7,6,110,55,237,2,-,-
S01003630,414,414,-,-,414,411,-,3,3,103,13,294,1,-,-
S01003631,597,597,-,-,597,594,1,2,90,108,47,350,2,-,-
S01003632,424,424,-,-,424,417,4,3,115,14,2,291,2,-,-
S01003633,736,736,-,-,736,713,2,21,4,63,100,565,1,2,1
S01003634,397,397,-,-,397,394,-,3,7,45,53,291,-,1,-
S01003635,415,415,-,-,415,405,-,10,1,4,12,397,-,1,-
S01003636,522,522,-,-,522,520,-,2,3,41,33,444,1,-,-
S01003637,538,538,-,-,538,523,1,14,3,26,115,392,2,-,-
S01003638,406,406,-,-,406,394,1,11,6,63,25,302,9,1,-
S01003639,374,374,-,-,374,370,-,4,4,37,18,312,3,-,-
S01003640,495,495,-,-,495,487,-,8,8,56,48,377,6,-,-
S01003641,268,268,-,-,268,266,-,2,115,141,4,8,-,-,-
S01003642,392,392,-,-,392,383,-,9,4,94,73,221,-,-,-
S01003643,312,312,-,-,312,308,-,4,8,71,51,181,-,1,-
S01003644,475,475,-,-,475,468,-,7,4,48,86,336,-,1,-
S01003645,259,259,-,-,259,258,-,1,-,56,72,131,-,-,-
S01003646,461,461,-,-,461,437,-,24,2,9,3,443,2,2,-
S01003647,358,358,-,-,358,354,-,4,2,96,54,206,-,-,-
S01003648,440,440,-,-,440,431,-,9,3,8,6,421,1,1,-
S01003649,400,400,-,-,400,396,-,4,56,218,96,29,1,-,-
S01003650,410,410,-,-,410,402,-,8,6,25,46,325,7,1,-
S01003651,388,387,1,-,389,386,-,3,4,104,29,252,-,-,-
S01003652,378,378,-,-,378,375,-,3,-,52,65,258,1,1,1
S01003653,280,280,-,-,280,279,-,1,7,74,123,75,-,1,-
S01003654,413,413,-,-,413,404,-,9,15,43,137,211,6,1,-
S01003655,266,266,-,-,266,260,-,6,4,28,24,207,-,3,-
S01003656,414,414,-,-,414,398,-,16,10,73,61,270,-,-,-
S01003657,351,351,-,-,351,345,-,6,8,70,132,136,3,2,-
S01003658,363,363,-,-,363,360,1,2,39,91,73,160,-,-,-
S01003659,440,440,-,-,440,435,-,5,6,20,101,313,-,-,-
S01003660,337,337,-,-,337,336,-,1,174,146,5,12,-,-,-
S01003661,460,460,-,-,460,451,-,9,33,90,188,148,1,-,-
S01003662,342,341,1,-,343,340,-,3,4,75,52,212,-,-,-
S01003663,350,350,-,-,350,340,-,10,2,16,48,283,-,1,-
S01003664,289,289,-,-,289,276,-,13,4,12,19,254,-,-,-
S01003665,391,389,1,1,394,367,-,27,1,5,1,385,1,-,1
S01003666,306,306,-,-,306,299,-,7,9,58,99,140,-,-,-
S01003667,333,333,-,-,333,329,-,4,36,89,188,16,4,-,-
S01003668,372,372,-,-,372,364,1,7,4,137,68,163,-,-,-
S01003669,440,440,-,-,440,433,-,7,5,166,198,71,-,-,-
S01003670,484,484,-,-,484,475,-,9,6,23,58,397,-,-,-
S01003671,321,321,-,-,321,316,1,4,4,94,39,184,-,-,-
S01003672,369,368,1,-,370,356,1,13,4,40,119,207,-,-,-
S01003673,200,200,-,-,200,195,-,5,-,8,18,174,-,-,-
S01003674,416,416,-,-,416,407,-,9,4,93,50,268,1,-,-
S01003675,472,472,-,-,472,458,1,13,13,67,137,248,4,2,1
S01003676,692,692,-,-,692,674,2,16,2,30,126,527,6,1,-
S01003677,291,291,-,-,291,284,1,6,1,85,79,124,2,-,-
S01003678,294,294,-,-,294,289,1,4,1,54,207,32,-,-,-
S01003679,525,525,-,-,525,521,-,4,20,125,48,329,3,-,-
S01003680,285,285,-,-,285,278,-,7,8,88,172,17,-,-,-
S01003681,321,321,-,-,321,313,-,8,2,96,23,195,5,-,-
S01003682,420,420,-,-,420,410,1,9,61,112,76,148,21,2,-
S01003683,289,289,-,-,289,285,-,4,1,124,60,103,1,-,-
S01003684,357,357,-,-,357,354,-,3,1,162,106,86,2,-,-
S01003685,233,233,-,-,233,228,-,5,3,26,194,10,-,-,-
S01003686,455,455,-,-,455,443,-,12,9,97,64,284,1,-,-
S01003687,400,400,-,-,400,379,-,21,2,16,43,336,-,3,-
S01003688,449,449,-,-,449,443,-,6,13,26,77,333,-,-,-
S01003689,274,274,-,-,274,267,-,7,3,25,18,228,-,-,-
S01003690,613,613,-,-,613,604,-,9,1,9,41,562,-,-,-
S01003691,463,463,-,-,463,461,-,2,27,149,93,193,1,-,-
S01003692,533,533,-,-,533,512,-,21,3,90,37,401,2,-,-
S01003693,249,249,-,-,249,246,-,3,3,86,54,106,-,-,-
S01003694,405,405,-,-,405,396,1,8,63,88,204,49,1,-,-
S01003695,481,481,-,-,481,466,1,14,3,9,28,437,2,2,-
S01003696,547,547,-,-,547,526,1,20,1,117,130,298,1,-,-
S01003697,372,372,-,-,372,371,-,1,102,201,46,23,-,-,-
S01003698,435,435,-,-,435,432,-,3,3,66,346,20,-,-,-
S01003699,373,373,-,-,373,365,-,8,42,204,56,69,1,-,1
S01003700,489,489,-,-,489,483,-,6,21,17,24,426,1,-,-
S01003701,646,646,-,-,646,628,1,17,1,101,30,513,1,-,-
S01003702,348,348,-,-,348,338,-,10,7,19,10,309,1,1,1
S01003703,455,455,-,-,455,450,1,4,15,29,51,350,7,3,-
S01003704,323,323,-,-,323,321,-,2,2,8,15,295,3,-,-
S01003705,425,424,-,1,427,417,-,10,7,41,20,357,2,-,-
S01003706,312,312,-,-,312,308,-,4,1,14,40,257,-,-,-
S01003707,402,402,-,-,402,398,-,4,60,85,72,185,-,-,-
S01003708,446,446,-,-,446,439,-,7,9,54,62,318,2,1,-
S01003709,461,460,1,-,462,451,-,11,5,47,32,372,4,2,-
S01003710,598,598,-,-,598,579,-,19,138,81,53,324,1,1,-
S01003711,457,457,-,-,457,448,-,9,5,56,98,297,1,-,-
S01003712,437,437,-,-,437,430,-,7,18,94,92,231,1,1,-
S01003713,230,230,-,-,230,227,-,3,8,30,30,161,1,-,-
S01003714,255,255,-,-,255,252,-,3,2,105,9,139,-,-,-
S01003715,331,331,-,-,331,331,-,-,14,152,55,109,1,-,-
S01003716,257,257,-,-,257,255,-,2,14,74,58,109,2,-,-
S01003717,361,361,-,-,361,357,-,4,8,98,51,204,-,-,-
S01003718,298,298,-,-,298,285,5,8,14,124,67,93,-,-,-
S01003719,351,351,-,-,351,259,86,6,266,59,18,3,-,2,3
S01003720,608,608,-,-,608,449,126,33,380,170,29,9,5,4,11
S01003721,409,409,-,-,409,364,40,5,116,141,104,40,4,2,2
S01003722,484,484,-,-,484,455,17,12,51,209,108,106,7,1,2
S01003723,269,269,-,-,269,234,32,3,198,34,20,8,5,2,2
